fdc_id,description,food_category,data_type,brand_owner,ingredients_text,dedup_key,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,omega3_g
170362,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",,SR Legacy,,,"digiorno pizza, cheese topping, rising crust, frozen, baked|",,,,,,,,,,,,,,
170758,"DIGIORNO Pizza, cheese topping, thin crispy crust, frozen, baked",,SR Legacy,,,"digiorno pizza, cheese topping, thin crispy crust, frozen, baked|",,,,,,,,,,,,,,
170759,"DIGIORNO Pizza, pepperoni topping, cheese stuffed crust, frozen, baked",,SR Legacy,,,"digiorno pizza, pepperoni topping, cheese stuffed crust, frozen, baked|",,,,,,,,,,,,,,
170760,"DIGIORNO Pizza, pepperoni topping, rising crust, frozen, baked",,SR Legacy,,,"digiorno pizza, pepperoni topping, rising crust, frozen, baked|",,,,,,,,,,,,,,
170761,"DIGIORNO Pizza, pepperoni topping, thin crispy crust, frozen, baked",,SR Legacy,,,"digiorno pizza, pepperoni topping, thin crispy crust, frozen, baked|",,,,,,,,,,,,,,
170363,"DIGIORNO Pizza, supreme topping, rising crust, frozen, baked",,SR Legacy,,,"digiorno pizza, supreme topping, rising crust, frozen, baked|",,,,,,,,,,,,,,
170364,"DIGIORNO Pizza, supreme topping, thin crispy crust, frozen, baked",,SR Legacy,,,"digiorno pizza, supreme topping, thin crispy crust, frozen, baked|",,,,,,,,,,,,,,
172233,"Dill weed, fresh",,SR Legacy,,,"dill weed, fresh|",,,,,,,,,,,,,,
171832,"Dip, bean, original flavor",,SR Legacy,,,"dip, bean, original flavor|",,,,,,,,,,,,,,
171834,"Dip, FRITO'S, bean, original flavor",,SR Legacy,,,"dip, frito's, bean, original flavor|",,,,,,,,,,,,,,
174068,"Dip, salsa con queso, cheese and salsa- medium",,SR Legacy,,,"dip, salsa con queso, cheese and salsa- medium|",,,,,,,,,,,,,,
174069,"Dip, TOSTITOS, salsa con queso, medium",,SR Legacy,,,"dip, tostitos, salsa con queso, medium|",,,,,,,,,,,,,,
169371,"Dock, cooked, boiled, drained, with salt",,SR Legacy,,,"dock, cooked, boiled, drained, with salt|",,,,,,,,,,,,,,
170077,"Dock, cooked, boiled, drained, without salt",,SR Legacy,,,"dock, cooked, boiled, drained, without salt|",,,,,,,,,,,,,,
170076,"Dock, raw",,SR Legacy,,,"dock, raw|",,,,,,,,,,,,,,
173282,"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",,SR Legacy,,,"domino's 14"" cheese pizza, classic hand-tossed crust|",,,,,,,,,,,,,,
